	massa_A
t	x	y
0.000	0.948	-1.042
0.046	0.947	-0.999
0.055	0.920	-0.920
0.063	0.925	-0.882
0.071	0.895	-0.795
0.080	0.887	-0.754
0.088	0.882	-0.713
0.096	0.873	-0.678
0.105	0.865	-0.631
0.113	0.857	-0.607
0.121	0.841	-0.574
0.130	0.838	-0.541
0.138	0.835	-0.506
0.146	0.827	-0.471
0.155	0.808	-0.435
0.163	0.797	-0.405
0.171	0.797	-0.381
0.180	0.789	-0.351
0.188	0.781	-0.324
0.196	0.778	-0.288
0.205	0.765	-0.259
0.213	0.756	-0.231
0.221	0.754	-0.207
0.230	0.751	-0.185
0.238	0.732	-0.155
0.246	0.724	-0.131
0.255	0.716	-0.114
0.263	0.707	-9.796E-2
0.271	0.702	-7.075E-2
0.280	0.691	-5.442E-2
0.288	0.683	-4.082E-2
0.296	0.672	-1.361E-2
0.305	0.672	1.088E-2
0.313	0.659	2.177E-2
0.321	0.648	3.810E-2
0.330	0.634	6.259E-2
0.338	0.631	7.619E-2
0.346	0.623	9.252E-2
0.355	0.620	9.796E-2
0.363	0.612	0.114
0.371	0.599	0.128
0.380	0.599	0.139
0.388	0.588	0.152
0.396	0.580	0.152
0.405	0.566	0.169
0.413	0.561	0.177
0.421	0.550	0.185
0.430	0.547	0.185
0.438	0.539	0.196
0.446	0.531	0.196
0.455	0.520	0.207
0.463	0.512	0.215
0.471	0.509	0.215
0.480	0.495	0.220
0.488	0.484	0.223
0.496	0.484	0.218
0.505	0.476	0.220
0.513	0.468	0.218
0.521	0.460	0.215
0.530	0.452	0.212
0.538	0.433	0.210
0.546	0.433	0.210
0.555	0.427	0.207
0.563	0.416	0.199
0.571	0.403	0.196
0.580	0.400	0.193
0.588	0.397	0.182
0.596	0.386	0.169
0.605	0.381	0.166
0.613	0.373	0.158
0.621	0.367	0.136
0.630	0.359	0.131
0.638	0.348	0.117
0.646	0.340	0.112
0.655	0.332	0.101
0.663	0.327	8.980E-2
0.671	0.313	7.075E-2
0.680	0.313	5.170E-2
0.688	0.307	3.810E-2
0.696	0.299	2.177E-2
0.705	0.291	8.163E-3
0.713	0.283	-8.163E-3
0.721	0.275	-3.265E-2
0.730	0.269	-5.170E-2
0.738	0.264	-6.531E-2
0.746	0.259	-7.891E-2
0.755	0.253	-0.103
0.763	0.242	-0.131
0.771	0.234	-0.152
0.780	0.226	-0.177
0.788	0.220	-0.196
0.796	0.210	-0.218
0.805	0.204	-0.245
0.813	0.199	-0.272
0.821	0.193	-0.299
0.830	0.188	-0.321
0.838	0.180	-0.346
0.846	0.169	-0.376
0.855	0.166	-0.408
0.863	0.155	-0.433
0.871	0.152	-0.465
0.880	0.144	-0.490
0.888	0.139	-0.525
0.896	0.128	-0.552
0.905	0.128	-0.580
0.913	0.120	-0.604
0.921	0.112	-0.639
0.930	0.106	-0.667
0.938	9.796E-2	-0.697
0.946	9.796E-2	-0.727
0.955	8.707E-2	-0.759
0.963	8.163E-2	-0.784
0.971	7.619E-2	-0.822
0.980	7.075E-2	-0.854
0.988	6.259E-2	-0.887
0.996	5.986E-2	-0.925
1.005	5.714E-2	-0.961
1.013	4.354E-2	-1.001
1.021	4.354E-2	-1.034
1.030	3.265E-2	-1.075
1.038	2.449E-2	-1.116
1.046	2.449E-2	-1.156
1.055	1.361E-2	-1.189
1.063	1.088E-2	-1.233
1.071	1.110E-16	-1.273
1.080	-5.442E-3	-1.320
