t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338082836649087115e-01,7.725424859373683506e-02,-4.755282581475767656e-01,2.161721940195419078e-01,1.248070744084945061e-01,-4.446265587100820538e-01
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338121285974593899e-01,7.725646846657997779e-02,-4.755268155638431860e-01,2.161757890892604950e-01,1.248091500229642908e-01,-4.446242281772112004e-01
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338388752660569780e-01,7.727191066289472443e-02,-4.755167791887290329e-01,2.162007974066959548e-01,1.248235885817676194e-01,-4.446080149235711598e-01
3.000000000000000236e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.339105797027715650e-01,7.731330923873398764e-02,-4.754898619931066106e-01,2.162678396483690146e-01,1.248622954380446404e-01,-4.445645382976129989e-01
4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.340476332495667555e-01,7.739243714086957437e-02,-4.754383689749768216e-01,2.163959743428006122e-01,1.249362740383672538e-01,-4.444813941186289696e-01
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.342679998913297867e-01,7.751966588081188325e-02,-4.753554518535673123e-01,2.166019793178537711e-01,1.250552110661686256e-01,-4.443475855012425368e-01
6.000000000000000472e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.345865384185823965e-01,7.770357418526843696e-02,-4.752353293215245689e-01,2.168997120122432010e-01,1.252271071174208827e-01,-4.441538996474171941e-01
7.000000000000000666e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.350144351708704171e-01,7.795062049038728458e-02,-4.750734712238249835e-01,2.172995741196480091e-01,1.254579676127697829e-01,-4.438932230276700919e-01
8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355587692150480583e-01,7.826489189732233065e-02,-4.748667463459636529e-01,2.178081023646612213e-01,1.257515665319186848e-01,-4.435607895870347095e-01
9.000000000000001055e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.362222269034620015e-01,7.864793937232404664e-02,-4.746135338672391457e-01,2.184277023652490546e-01,1.261092927590479751e-01,-4.431543581183094993e-01
