Segment	Endpoint	Endpoint	Mass	Mass	CM Long	CM Long	Rg Sag	Rg Sag	Rg Trans	Rg Trans	Rg Long	Rg Long
	Origin	Other	F	M	F	M	F	M	F	M	F	M
Head 	VERT 	MIDG 	6.68	6.94	58.94	59.76	33	36.2	35.9	37.6	31.8	31.2
UpperArm	SJC 	EJC 	2.55	2.71	57.54	57.72	27.8	28.5	26	26.9	14.8	15.8
Forearm 	EJC 	WJC 	1.38	1.62	45.59	45.74	26.1	27.6	25.7	26.5	9.4	12.1
Hand	WJC 	MET3 	0.56	0.61	74.74	79	53.1	62.8	45.4	51.3	33.5	40.1
Torso	SUPR 	MIDA 	30.1	32.29	37.41	41.66	30.7	32.8	29.2	30.6	14.7	16.9
Pelvis 	MIDA 	MIDH 	12.47	11.17	50	50	43.3	61.5	40.2	55.1	44.4	58.7
Thigh 	HJC 	KJC 	14.78	14.16	36.12	40.95	36.9	32.9	36.4	32.9	16.2	14.9
Shank	KJC 	AJC 	4.81	4.33	43.52	43.95	26.7	25.1	26.3	24.6	9.2	10.2
Foot	HEEL 	TTIP 	1.29	1.37	40.14	44.15	29.9	25.7	27.9	24.5	13.9	12.4
Head 2	VERT 	CERV 	6.68	6.94	48.41	50.02	27.1	30.3	29.5	31.5	26.1	26.1
Trunk 	SUPR 	MIDH 	42.57	43.46	41.51	44.86	35.7	37.2	33.9	34.7	17.1	19.1
Trunk 2	CERV 	MIDH 	42.57	43.46	49.64	51.38	30.7	32.8	29.2	30.6	14.7	16.9
Trunk 3	MIDS 	MIDH 	42.57	43.46	37.82	43.1	37.9	38.4	36.1	35.8	18.2	19.7
UpperTrunk 	SUPR 	XYPH 	15.45	15.96	20.77	29.99	74.6	71.6	50.2	45.4	71.8	65.9
UpperTrunk 2	CERV 	XYPH 	15.45	15.96	50.5	50.66	46.6	50.5	31.4	32	44.9	46.5
MiddleTrunk	XYPH 	OMPH 	14.65	16.33	45.12	45.02	43.3	48.2	35.4	38.3	41.5	46.8
LowerTrunk 	OMPH 	MIDH 	12.47	11.17	49.2	61.15	43.3	61.5	40.2	55.1	44.4	58.7
Forearm 2	EJC 	STYL 	1.38	1.62	45.92	46.08	26.3	27.8	25.9	26.7	9.5	12.2
Hand 2	WJC 	DAC3 	0.56	0.61	34.27	36.24	24.4	28.8	20.8	23.5	15.4	18.4
Hand 3	STYL 	DAC3 	0.56	0.61	35.02	36.91	24.1	28.5	20.6	23.3	15.2	18.2
Hand 4	STYL 	MET3 	0.56	0.61	75.34	79.48	51.9	61.4	44.3	50.2	32.7	39.2
Shank 2	KJC 	LMAL 	4.81	4.33	44.16	44.59	27.1	25.5	26.7	24.9	9.3	10.3
Shank 3	KJC 	SPHY 	4.81	4.33	44.81	45.24	27.5	25.8	27.1	25.3	9.4	10.5
