Segment	Endpoints	Mass	CM Long	Rg Sag	Rg Trans	Rg Long
Head	VERT-MIDG	0.0668	0.5894	0.33	0.359	0.318
Trunk	SUPR-MIDH	0.4257	0.4151	0.357	0.339	0.171
Upper trunk	SUPR-XYPH	0.1545	0.2077	0.746	0.502	0.718
Middle trunk	XYPH-OMPH	0.1465	0.4512	0.433	0.354	0.415
Lower trunk	OMPH-MIDH 	0.1247	0.492	0.433	0.402	0.444
Upper arm	SJC-EJC	0.0255	0.5754	0.278	0.26	0.148
Forearm	EJC-WJC	0.0138	0.4559	0.261	0.257	0.094
Hand	WJC-MET3	0.0056	0.7474	0.531	0.454	0.335
Thigh	HJC-KJC	0.1478	0.3612	0.369	0.364	0.162
Shank	KJC-AJC	0.0481	0.4352	0.267	0.263	0.092
Foot	HEEL-TTIP	0.0129	0.4014	0.299	0.279	0.139
Head 2	VERT-CERV	0.0668	0.4841	0.271	0.295	0.261
Trunk 2	CERV-MIDH	0.4257	0.4964	0.307	0.292	0.147
Trunk 3	MIDS-MIDH	0.4257	0.3782	0.379	0.361	0.182
Upper trunk 2	CERV-XYPH	0.1545	0.505	0.466	0.314	0.449
Forearm 2	EJC-STYL 	0.0138	0.4592	0.263	0.259	0.095
Hand 2	WJC-DAC3	0.0056	0.3427	0.244	0.208	0.154
Hand 3	STYL-DAC3	0.0056	0.3502	0.241	0.206	0.152
Hand 4	STYL-MET3	0.0056	0.7534	0.519	0.443	0.327
Shank 2	KJC-LMAL	0.0481	0.4416	0.271	0.267	0.093
Shank 3	KJC-SPHY	0.0481	0.4481	0.275	0.271	0.094
