Segment	Endpoints	Mass	CM Long	Rg Sag	Rg Trans	Rg Long
Head	VERT-MIDG	0.0694	0.5976	0.362	0.376	0.312
Trunk	SUPR-MIDH	0.4346	0.4486	0.372	0.347	0.191
Upper trunk	SUPR-XYPH	0.1596	0.2999	0.716	0.454	0.659
Middle trunk	XYPH-OMPH	0.1633	0.4502	0.482	0.383	0.468
Lower trunk	OMPH-MIDH	0.1117	0.6115	0.615	0.551	0.587
Upper arm	SJC-EJC	0.0271	0.5772	0.285	0.269	0.158
Forearm	EJC-WJC	0.0162	0.4574	0.276	0.265	0.121
Hand	WJC-MET3	0.0061	0.79	0.628	0.513	0.401
Thigh	HJC-KJC	0.1416	0.4095	0.329	0.329	0.149
Shank	KJC-AJC	0.0433	0.4395	0.251	0.246	0.102
Foot	HEEL-TTIP	0.0137	0.4415	0.257	0.245	0.124
Head 2	VERT-CERV	0.0694	0.5002	0.303	0.315	0.261
Trunk 2	CERV-MIDH	0.4346	0.5138	0.328	0.306	0.169
Trunk 3	MIDS-MIDH	0.4346	0.431	0.384	0.358	0.197
Upper trunk 2	CERV-XYPH	0.1596	0.5066	0.505	0.32	0.465
Forearm 2	EJC-STYL	0.0162	0.4608	0.278	0.267	0.122
Hand 2	WJC-DAC3	0.0061	0.3624	0.288	0.235	0.184
Hand 3	STYL-DAC3	0.0061	0.3691	0.285	0.233	0.182
Hand 4	STYL-MET3	0.0061	0.7948	0.614	0.502	0.392
Shank 2	KJC-LMAL	0.0433	0.4459	0.255	0.249	0.103
Shank 3	KJC-SPHY	0.0433	0.4524	0.258	0.253	0.105
