Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0	-119.98896	779.61652	-123.31044	57.22176	441.76575	-64.30206	82.45168	447.02225	-189.85791	49.30313	405.63107	-60.11687	115.5442	398.90054	-107.48588	150.39151	76.84097	-89.97697	173.68562	98.94778	-165.49541	112.84135	41.73006	-145.87135	286.44867	101.6359	-114.90544	253.68707	72.38386	-65.65131	0	0	0	300	0	-203	0
0.007	-110.50954	778.30231	-122.86553	67.03982	440.84476	-63.91471	88.10143	444.07501	-190.18407	59.74697	404.89682	-59.41019	124.79381	398.30927	-108.45535	166.22029	77.39099	-88.35982	187.04947	98.94553	-164.52034	127.81894	40.99933	-142.75308	301.1658	103.58919	-117.3825	270.18274	74.45705	-66.94732	0	0	0	300	0	-203	0
0.013	-101.00628	776.98755	-122.41759	76.85456	439.91989	-63.52844	93.83745	441.19437	-190.47749	70.14405	404.14087	-58.70687	134.02892	397.68466	-109.37059	181.71065	77.84869	-86.78033	200.17238	98.8626	-163.55991	142.47279	40.25775	-139.7243	315.595	105.33328	-119.75674	286.31317	76.31915	-68.1898	0	0	0	300	0	-203	0
0.02	-91.45667	775.67468	-121.96363	86.66161	438.98773	-63.14431	99.74447	438.4444	-190.70891	80.45042	403.34421	-58.00994	143.23814	396.99719	-110.18093	196.5499	78.12855	-85.27242	212.83351	98.62474	-162.62766	156.50351	39.49738	-136.86858	329.47229	106.6732	-121.92847	301.74173	77.77311	-69.32574	0	0	0	300	0	-203	0
0.027	-81.84	774.36877	-121.49937	96.45511	438.04697	-62.76248	105.90376	435.88382	-190.85451	90.6283	402.49362	-57.32178	152.41515	396.22473	-110.8429	210.47141	78.15895	-83.86314	224.84686	98.17	-161.73529	169.65475	38.7169	-134.2576	342.5762	107.43933	-123.80524	316.18225	78.64809	-70.30367	0	0	0	300	0	-203	0
0.033	-72.13892	773.07837	-121.01842	106.22806	437.10101	-62.38113	112.39049	433.56241	-190.89633	100.64954	401.58505	-56.64386	161.55875	395.35605	-111.32369	223.26759	77.88905	-82.57116	236.06985	97.45375	-160.89198	181.72479	37.9258	-131.94635	354.73926	107.49471	-125.30768	329.41235	78.8081	-71.07519	0	0	0	300	0	-203	0
0.04	-62.34052	771.81592	-120.51301	115.9735	436.16049	-61.99578	119.27058	431.51825	-190.82135	110.49753	400.62628	-55.97685	170.67209	394.39316	-111.60333	234.79681	77.29445	-81.40619	246.40691	96.4529	-160.10384	192.57233	37.14783	-129.96976	365.85294	106.73959	-126.37583	341.27972	78.15808	-71.59833	0	0	0	300	0	-203	0
0.047	-52.43731	770.59772	-119.97466	125.68533	435.24405	-61.59962	126.59753	429.77722	-190.61983	120.16656	399.63821	-55.32044	179.7616	393.3519	-111.6749	244.98529	76.38071	-80.36993	255.80969	95.16893	-159.3739	202.11855	36.42183	-128.34183	375.86755	105.1151	-126.97501	351.7038	76.64869	-71.84285	0	0	0	300	0	-203	0
0.053	-42.42809	769.44336	-119.39503	135.35876	434.37839	-61.18412	134.40918	428.35498	-190.28442	129.65918	398.65359	-54.67299	188.83578	392.26141	-111.54265	253.82443	75.18352	-79.45815	264.27405	93.6292	-158.70261	210.34592	35.79855	-127.05701	384.78702	102.60754	-127.09982	360.67285	74.28059	-71.79526	0	0	0	300	0	-203	0
0.06	-32.31916	768.37531	-118.76639	144.99002	433.59738	-60.7396	142.72508	427.26154	-189.81052	138.98337	397.71454	-54.03079	197.90405	391.16226	-111.21857	261.3645	73.76495	-78.66356	271.83304	91.88585	-158.08897	217.29422	35.33297	-126.09338	392.65909	99.25282	-126.77603	368.23694	71.1083	-71.46142	0	0	0	300	0	-203	0
