Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0	-80.42152	817.65948	-433.59467	81.36107	468.81738	-228.51334	-140.99876	474.06381	-377.96457	102.5177	409.20367	-228.95732	157.71289	427.23529	-271.52606	226.2132	77.22258	-247.40105	253.55144	109.30722	-322.96106	194.82722	40.29632	-297.35703	390.64914	104.91326	-272.78091	353.48621	79.48192	-215.40398	0	0	0	300	0	-203	0
0.007	-72.00315	816.39685	-432.87393	90.18355	467.77234	-227.90059	-135.51013	473.67059	-378.23486	111.39072	408.06171	-228.31587	166.39758	426.33377	-271.18121	236.42697	76.31232	-246.91191	262.8161	108.5191	-322.75552	204.85931	38.92154	-296.50543	400.19125	105.45779	-274.32889	364.07956	79.73251	-216.59486	0	0	0	300	0	-203	0
0.013	-63.56537	815.14178	-432.13705	99.08058	466.75781	-227.28783	-129.98013	473.27866	-378.49289	120.29681	406.93256	-227.67688	175.11746	425.41284	-270.83557	246.37889	75.33678	-246.45694	271.87311	107.63177	-322.57736	214.59692	37.55016	-295.69077	409.50906	105.75179	-275.83969	374.3877	79.7742	-217.76062	0	0	0	300	0	-203	0
0.02	-55.08872	813.90155	-431.36771	108.1158	465.80057	-226.67488	-124.36972	472.88907	-378.72552	129.26419	405.82895	-227.04362	183.9012	424.45718	-270.49017	255.83476	74.24309	-246.0676	280.53848	106.56105	-322.45163	223.7773	36.19262	-294.94748	418.40369	105.57044	-277.27606	384.15363	79.42192	-218.87431	0	0	0	300	0	-203	0
0.027	-46.55372	812.68195	-430.54922	117.33235	464.9213	-226.0609	-118.64365	472.50284	-378.91818	138.31155	404.76337	-226.4201	192.7663	423.45886	-270.1481	264.60901	73.0001	-245.77074	288.66956	105.2494	-322.39941	232.19283	34.87147	-294.30588	426.72021	104.73595	-278.6004	393.17023	78.53339	-219.90674	0	0	0	300	0	-203	0
0.033	-37.94215	811.48798	-429.66513	126.7464	464.13394	-225.44382	-112.77068	472.12039	-379.05502	147.44427	403.74823	-225.81018	201.7171	422.41919	-269.81219	272.57605	71.60325	-245.58742	296.17355	103.67226	-322.43658	239.70334	33.62335	-293.79117	434.35681	103.13142	-279.77533	401.29376	77.02046	-220.82722	0	0	0	300	0	-203	0
0.04	-29.23772	810.32373	-428.69952	136.34521	463.44775	-224.81992	-106.72236	471.74164	-379.12073	156.65303	402.7963	-225.21609	210.74504	421.34915	-269.48233	279.6731	70.07551	-245.53174	303.00909	101.83936	-322.57318	246.2399	32.49693	-293.42242	441.26614	100.70636	-280.76529	408.44785	74.85315	-221.60455	0	0	0	300	0	-203	0
0.047	-20.42714	809.19312	-427.63791	146.0903	462.8703	-224.18378	-100.47127	471.36563	-379.10306	165.9151	401.92212	-224.6373	219.83063	420.26935	-269.15378	285.89606	68.46497	-245.60965	309.1817	99.79178	-322.81299	251.80168	31.54726	-293.21146	447.45074	97.47455	-281.53931	414.61823	72.05825	-222.20836	0	0	0	300	0	-203	0
0.053	-11.50081	808.10126	-426.46762	155.92484	462.41071	-223.52882	-93.98952	470.99075	-378.99466	175.19815	401.14343	-224.06958	228.94705	419.20886	-268.81693	291.29053	66.83934	-245.81783	314.73511	97.59599	-323.15295	256.44629	30.82781	-293.16171	452.95349	93.5066	-282.07468	419.84302	68.71365	-222.61148	0	0	0	300	0	-203	0
0.06	-2.45385	807.05579	-425.17865	165.78366	462.08212	-222.84808	-87.24774	470.61459	-378.7933	184.46545	400.48236	-223.5049	238.06419	418.20358	-268.45908	295.93875	65.27742	-246.14267	319.73911	95.33539	-323.58282	260.27444	30.38056	-293.26782	457.8443	88.9201	-282.36066	424.20062	64.93954	-222.79318	0	0	0	300	0	-203	0
