'FRAME' 'TIME' 'RIB CAGE' 'RIGHT HIP' 'RIGHT KNEE' 'RIGHT FIBULA' 'RIGHT ANKLE' 'RIGHT HEEL' 'RIGHT MT5' 'RIGHT TOE'
 'N' 'S' 'X' 'Y' 'X' 'Y' 'X' 'Y' 'X' 'Y' 'X' 'Y' 'X' 'Y' 'X' 'Y' 'X' 'Y'
1 0 46.98 104.41 44.94 78.58 41 47.4 35.91 40.53 9.31 21.44 2.95 24.24 7.53 9.35 11.73 3.63
2 0.014 49.22 104.79 47.31 78.58 45.02 46.89 40.06 40.02 12.7 22.46 7.23 26.02 10.54 10.63 13.72 4.77
3 0.029 51.1 105.17 49.57 78.71 48.68 47.27 44.23 40.15 16.49 23.73 10.64 27.3 14.2 12.03 17.63 6.43
4 0.043 53.13 105.3 51.74 79.21 52.5 47.53 48.43 40.15 20.81 24.37 14.71 27.55 18.78 12.53 22.47 6.94
5 0.057 54.86 105.43 53.33 79.09 56.13 47.91 52.7 40.78 24.96 24.24 18.72 27.42 23.17 12.66 27.12 7.32
6 0.072 56.81 106.06 55.41 79.98 59.87 48.67 56.56 41.29 29.33 24.62 23.09 27.17 28.31 12.41 32.51 6.81
7 0.086 58.25 106.32 56.73 80.49 63.34 49.44 60.29 41.8 33.57 23.73 26.95 26.02 33.44 12.03 38.02 6.81
8 0.1 60.03 106.95 58.89 81 66.9 50.84 64.36 42.69 38.78 23.22 31.27 25.01 39.55 11.26 44.38 6.3
9 0.114 61.56 107.08 60.79 81.12 69.96 51.09 67.79 43.2 43.11 22.21 35.73 22.84 45.01 10.24 50.36 6.04
10 0.129 63.54 107.46 62.78 82.01 73.22 51.73 71.31 43.84 48.15 21.06 40.64 20.93 51.46 8.97 57.05 5.28
11 0.143 65.2 107.85 64.69 82.4 76.27 53 74.74 44.86 53.23 20.04 45.73 19.02 57.56 8.21 63.54 5.15
12 0.157 66.92 107.85 66.67 82.78 79.01 53.51 77.86 45.11 58.27 18.52 51.27 16.86 63.99 7.44 70.23 5.03
13 0.172 68.77 107.59 68.65 82.65 81.62 54.15 80.73 45.49 63.68 16.86 56.56 14.44 70.3 6.3 76.79 4.52
14 0.186 70.37 107.59 70.88 83.16 83.99 54.53 83.48 45.87 69.22 15.59 62.23 12.66 76.73 5.79 83.48 4.77
15 0.2 72.43 107.59 73.19 82.9 86.56 54.78 86.3 46 74.72 14.44 68.23 11.01 83.63 5.66 90.12 5.54
16 0.215 74 107.59 74.89 83.03 88.51 54.91 88.89 46.13 80.36 13.43 74.13 9.1 89.53 5.28 96.14 5.54
17 0.229 75.68 107.59 76.95 82.9 90.57 54.91 90.95 45.87 85.86 12.66 80.01 7.57 95.53 5.79 102.4 6.55
18 0.243 77.67 107.08 79.19 82.65 93.06 54.65 93.32 46 91.54 12.03 86.32 6.55 101.72 5.79 108.84 7.7
19 0.257 79.55 106.95 81.2 82.4 94.56 54.02 95.45 45.62 96.85 11.64 92.02 5.41 107.79 6.17 114.16 8.97
20 0.272 81.47 107.21 83.12 82.14 96.1 54.02 96.99 45.24 101.45 11.77 97.5 5.15 113.28 7.7 119.39 10.88
21 0.286 83.53 106.45 85.69 81.5 98.16 53.25 99.18 44.73 106.56 11.77 103.13 4.77 118.78 8.21 124.38 12.15
