mass_A
t	x	y
0.000000000E0	-5.261958998E-1	-2.277904328E-3
3.333333333E-2	-4.702294895E-1	8.077724777E-2
6.666666667E-2	-4.142484732E-1	1.522588619E-1
1.000000000E-1	-3.575860121E-1	2.130394273E-1
1.333333333E-1	-3.014981992E-1	2.629720078E-1
1.666666667E-1	-2.447817587E-1	3.021375926E-1
2.000000000E-1	-1.875278496E-1	3.309903903E-1
2.333333333E-1	-1.309378598E-1	3.484390775E-1
2.666666667E-1	-7.289293850E-2	3.553530752E-1
3.000000000E-1	-1.740140588E-2	3.510192370E-1
3.333333333E-1	3.954445929E-2	3.360319672E-1
3.666666667E-1	9.656870733E-2	3.098830844E-1
4.000000000E-1	1.539513472E-1	2.720571803E-1
4.333333333E-1	2.113987572E-1	2.240994117E-1
4.666666667E-1	2.689056482E-1	1.646116826E-1
5.000000000E-1	3.273388656E-1	9.366907609E-2
5.333333333E-1	3.856806205E-1	1.222379773E-2
5.666666667E-1	4.437360649E-1	-8.179335636E-2
6.000000000E-1	5.026202254E-1	-1.863156979E-1
6.333333333E-1	5.620442247E-1	-3.031260056E-1
6.666666667E-1	6.222880480E-1	-4.316753185E-1
7.000000000E-1	6.844543425E-1	-5.731189029E-1
