segment	definition	mass	cmp	cmd	rgcm	rgp	rgd	rgcmt	rgpt	rgdt
hand	STYL-KNU3	0.0061	0.795	0.205	0.614	1.005	0.647	0.502	0.94	0.542
forearm	EJC-STYL	0.0162	0.461	0.539	0.278	0.538	0.606	0.267	0.533	0.602
upperarm	SJC-EJC	0.0271	0.577	0.423	0.285	0.644	0.51	0.269	0.637	0.501
forearmhand	EJC-STYL	0.0223	0.68	0.32	0.442	0.811	0.546	0.433	0.806	0.538
totalarm	SJC-STYL	0.0494	0.544	0.456	0.327	0.635	0.562	0.324	0.632	0.56
foot	HEEL-TTOE	0.0137	0.442	0.558	0.257	0.511	0.615	0.245	0.505	0.61
leg	KJC-LMAL	0.0433	0.446	0.554	0.255	0.514	0.61	0.249	0.511	0.607
thigh	TCR-KJC	0.1416	0.405	0.595	0.332	0.524	0.681	0.332	0.524	0.681
headneck	VERX-MIDG	0.0694	0.598	0.402	0.362	0.699	0.541	0.376	0.706	0.551
thorax	ACR-XYPH	0.1596	0.367	0.633	0.647	0.744	0.905	0.41	0.55	0.754
abdomen	XYPH-ASIS	0.1633	0.326	0.674	0.349	0.478	0.759	0.277	0.428	0.729
pelvis	ASIS-GTR	0.1117	0.106	0.894	1.339	1.343	1.61	1.2	1.205	1.496
trunk	SJC-HJC	0.4346	0.431	0.569	0.384	0.577	0.686	0.358	0.56	0.672
trunkheadneck	SJC-HJC	0.504	0.316	0.684	0.462	0.559	0.825	0.444	0.544	0.815
HAT	SJC-HJC	0.6028	0.359	0.641	NaN	NaN	NaN	0.44	0.568	0.778
hand2	WJC-KNU3	0.0061	0.79	0.21	0.628	1.009	0.662	0.513	0.942	0.544
forearm2	EJC-WJC	0.0162	0.457	0.543	0.276	0.534	0.609	0.265	0.528	0.604
upperarm2	ACR-EJC	0.0271	0.623	0.377	0.254	0.673	0.455	0.24	0.668	0.477
totalarm2	SJC-WJC	0.0494	0.542	0.458	0.326	0.632	0.562	0.323	0.631	0.56
leg2	KJC-AJC	0.0433	0.44	0.56	0.251	0.506	0.614	0.246	0.504	0.612
thigh2	HJC-KJC	0.1416	0.41	0.59	0.329	0.525	0.676	0.329	0.525	0.676
trunkheadneck2	ACR-GTR	0.504	0.356	0.644	0.43	0.559	0.774	0.414	0.546	0.765
HAT2	ACR-GTR	0.6028	0.397	0.603	NaN	NaN	NaN	0.41	0.571	0.729
