Time (s)	Channel 0	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
0.000000	-0.045707	-0.075820	0.099988	-0.207852	0.745766	0.018508	0.698777	0.236609
0.010000	-0.039589	-0.065838	0.106106	-0.209140	0.744800	0.019795	0.698777	0.232423
0.020000	-0.041521	-0.071634	0.106106	-0.210749	0.742868	0.017220	0.697811	0.231779
0.030000	-0.048927	-0.076142	0.108360	-0.208496	0.743834	0.019795	0.703929	0.237897
0.040000	-0.042487	-0.070024	0.110292	-0.208496	0.742546	0.018508	0.700065	0.229847
0.050000	-0.049249	-0.082582	0.109648	-0.204954	0.745122	0.022693	0.703607	0.231135
0.060000	-0.044419	-0.082260	0.115766	-0.204310	0.745444	0.023337	0.701353	0.225018
0.070000	-0.048283	-0.086123	0.113834	-0.201412	0.747698	0.025913	0.706827	0.227594
0.080000	-0.041843	-0.089343	0.111580	-0.204632	0.747054	0.024625	0.707149	0.224374
0.090000	-0.037013	-0.097393	0.108360	-0.206564	0.751562	0.025591	0.706827	0.224374
0.100000	-0.040233	-0.099647	0.118020	-0.203988	0.747054	0.019473	0.710691	0.227594
0.110000	-0.034759	-0.099325	0.117698	-0.203988	0.749308	0.024303	0.712623	0.219222
0.120000	-0.036691	-0.108985	0.109970	-0.208174	0.750596	0.029133	0.713589	0.213426
0.130000	-0.036691	-0.113493	0.116732	-0.206242	0.747698	0.025269	0.713267	0.214392
0.140000	-0.038301	-0.119289	0.113834	-0.203344	0.748342	0.027845	0.713589	0.209562
0.150000	-0.043131	-0.124441	0.105462	-0.203666	0.745766	0.029777	0.717453	0.212460
0.160000	-0.041199	-0.132490	0.105140	-0.208818	0.746088	0.032997	0.718419	0.206342
0.170000	-0.040877	-0.133778	0.106106	-0.204954	0.742868	0.029133	0.716165	0.205376
0.180000	-0.037657	-0.129914	0.103530	-0.205276	0.746732	0.035895	0.720029	0.204732
0.190000	-0.033149	-0.125729	0.110614	-0.202700	0.745122	0.035573	0.719063	0.198936
0.200000	-0.036369	-0.133134	0.109970	-0.201412	0.745444	0.032031	0.716165	0.199902
