Time,COG_X,COG_Y,COG_Z,R.Ankle_X,R.Ankle_Y,R.Ankle_Z,L.Ankle_X,L.Ankle_Y,L.Ankle_Z
0,0.2238,0.95003,-0.00325,0.15038,0.07049,0.11538,0.16092,0.06839,-0.11356
0.01,0.223794,0.950026,-0.003207,0.150384,0.070483,0.11539,0.160933,0.068389,-0.113558
0.02,0.223788,0.950023,-0.003166,0.150388,0.070476,0.1154,0.160945,0.068389,-0.113554
0.03,0.223781,0.950021,-0.00313,0.150392,0.070471,0.115409,0.160956,0.06839,-0.113548
0.04,0.223773,0.95002,-0.003097,0.150395,0.070466,0.115416,0.160965,0.068391,-0.11354
0.05,0.223764,0.95002,-0.003067,0.150396,0.070463,0.115424,0.160972,0.068394,-0.113529
0.06,0.223756,0.95002,-0.003038,0.150396,0.07046,0.115432,0.16098,0.068396,-0.113517
0.07,0.223748,0.950019,-0.003009,0.150395,0.070457,0.115442,0.160987,0.068398,-0.113504
0.08,0.223741,0.950016,-0.002981,0.150394,0.070452,0.115453,0.160994,0.0684,-0.113492
0.09,0.223733,0.950011,-0.002954,0.150394,0.070447,0.115466,0.161,0.068402,-0.113481
0.1,0.223726,0.950004,-0.00293,0.150396,0.07044,0.11548,0.161007,0.068403,-0.11347
0.11,0.223719,0.949997,-0.002909,0.150398,0.070433,0.115495,0.161012,0.068405,-0.113458
0.12,0.223714,0.94999,-0.002891,0.150399,0.070427,0.115509,0.161017,0.068406,-0.113446
0.13,0.22371,0.949984,-0.002875,0.1504,0.070422,0.115522,0.161022,0.068407,-0.113433
0.14,0.223707,0.949978,-0.002862,0.1504,0.070418,0.115534,0.161026,0.068406,-0.11342
0.15,0.223705,0.949972,-0.00285,0.150401,0.070416,0.115543,0.16103,0.068405,-0.11341
0.16,0.223704,0.949966,-0.00284,0.150404,0.070413,0.115548,0.161035,0.068404,-0.113403
0.17,0.223703,0.949961,-0.002833,0.150409,0.070411,0.115547,0.161039,0.068402,-0.113399
0.18,0.223701,0.949956,-0.002829,0.150417,0.070409,0.115542,0.161043,0.068402,-0.113399
0.19,0.223697,0.949953,-0.002828,0.150427,0.070408,0.115533,0.161047,0.068404,-0.113402
0.2,0.223691,0.949952,-0.002829,0.150438,0.070407,0.115523,0.161049,0.068406,-0.113407
0.21,0.223681,0.949953,-0.002834,0.150449,0.070408,0.115514,0.161051,0.068408,-0.113412
0.22,0.223668,0.949956,-0.002841,0.150459,0.070409,0.115507,0.16105,0.068411,-0.113417
0.23,0.223651,0.949959,-0.002849,0.150467,0.070411,0.115502,0.161048,0.068411,-0.113421
0.24,0.22363,0.949961,-0.002858,0.150474,0.070412,0.115497,0.161045,0.068411,-0.113423
0.25,0.223607,0.949962,-0.002868,0.15048,0.070412,0.115491,0.16104,0.068409,-0.113424
0.26,0.223583,0.94996,-0.00288,0.150487,0.070412,0.11548,0.161034,0.068406,-0.113423
0.27,0.22356,0.949956,-0.002894,0.150496,0.070412,0.115466,0.161029,0.068404,-0.113421
0.28,0.223539,0.94995,-0.00291,0.150506,0.070412,0.115449,0.161024,0.068402,-0.113419
0.29,0.22352,0.949943,-0.002929,0.150515,0.070412,0.11543,0.161019,0.0684,-0.113417
0.3,0.223503,0.949937,-0.00295,0.150524,0.070412,0.115412,0.161017,0.0684,-0.113416
0.31,0.223487,0.949933,-0.002973,0.150531,0.070412,0.115398,0.161014,0.068399,-0.113417
