wn95b Shoulder Shoulder Hip Hip Tib.Epic. Tib.Epic. Knee Knee Ankle Ankle Heel Heel Ball Ball Toes Toes
Time "Mark01 X" "Mark01 Y" "Mark02 X" "Mark02 Y" "Mark03 X" "Mark03 Y" "Mark04 X" "Mark04 Y" "Mark05 X" "Mark05 Y" "Mark06 X" "Mark06 Y" "Mark07 X" "Mark07 Y" "Mark08 X" "Mark08 Y"
s cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm
0 0.4712906 1.047275 0.4494103 0.7891239 0.4095792 0.4758839 0.3589489 0.4081892 9.45E-02 0.2148415 3.07E-02 0.2371598 8.44E-02 9.27E-02 0.1279945 4.63E-02
0.0143 0.4912951 1.049908 0.4721361 0.790293 0.4477207 0.4752086 0.3999762 0.4079608 0.1283513 0.2245611 6.65E-02 0.254043 0.1113028 0.1053656 0.1511493 5.20E-02
0.0286 0.5108712 1.052641 0.4937919 0.7921062 0.4860418 0.4760892 0.4416587 0.4086919 0.1655808 0.2323448 0.1046775 0.2661319 0.1451777 0.115675 0.1829731 5.81E-02
0.0429 0.5298926 1.05542 0.5143042 0.7945716 0.5240796 0.4786942 0.4833746 0.4104777 0.2055941 0.2376452 0.1443654 0.2727178 0.1854227 0.1224573 0.2230046 0.0631846
0.0572 0.5482962 1.058191 0.5337938 0.7976415 0.5615019 0.4830028 0.5245919 0.4133167 0.2478118 0.2400778 0.1851391 0.2736829 0.2311215 0.1251732 0.2700783 6.64E-02
0.0715 0.5661123 1.060892 0.5525721 0.8012131 0.5980546 0.4888261 0.5649147 0.4171121 0.2917947 0.2394681 0.226837 0.2693006 0.2813559 0.1239224 0.322859 6.73E-02
0.0858 0.5834751 1.063454 0.5710486 0.8051336 0.6335241 0.4958283 0.6040924 0.4216884 0.3372786 0.2358495 0.269592 0.2600645 0.3353209 0.1192022 0.3801252 6.61E-02
0.1001 0.6005926 1.065808 0.5895937 0.8092192 0.6677304 0.5035791 0.6419569 0.426812 0.384114 0.2294424 0.313779 0.2466342 0.3923163 0.1117339 0.4408185 0.0632216
0.1144 0.6176669 1.067884 0.6084343 0.8132755 0.7005352 0.511641 0.6783692 0.432213 0.4322369 0.220614 0.3598508 0.2298364 0.4517352 0.1024225 0.5040381 5.94E-02
0.1287 0.6348191 1.069622 0.6276567 0.8171057 0.7318316 0.5196223 0.7132176 0.4376067 0.4816727 0.2098356 0.4081548 0.2106164 0.5130581 9.23E-02 0.5690271 5.54E-02
0.143 0.6520825 1.070967 0.6472793 0.820518 0.7615265 0.5271518 0.7464122 0.4427116 0.5324864 0.1976576 0.4588367 0.1899226 0.5758219 8.22E-02 0.6351393 5.18E-02
0.1573 0.6694498 1.07188 0.6672915 0.8233441 0.7895628 0.5338596 0.7778897 0.4472722 0.5847095 0.1847023 0.5118484 0.1686385 0.6396017 7.30E-02 0.7018115 4.92E-02
0.1716 0.6869107 1.072335 0.6876414 0.8254561 0.8159543 0.5394173 0.8076402 0.4510796 0.6382844 0.1716502 0.5670221 0.1475873 0.7039965 6.51E-02 0.76854 0.0483537
0.1859 0.7044629 1.072324 0.7082136 0.8267691 0.8407747 0.5435733 0.8356956 0.4539802 0.6930127 0.1591794 0.6241163 0.1274921 0.7685853 5.92E-02 0.8348412 4.96E-02
0.2002 0.722124 1.071848 0.728863 0.827238 0.8641177 0.5461601 0.8620815 0.4558747 0.7485409 0.1478803 0.6827864 0.108923 0.8328991 5.56E-02 0.9002261 5.32E-02
0.2145 0.7399622 1.07092 0.7495147 0.826857 0.8860858 0.5470932 0.8868214 0.4567201 0.8043802 0.1382004 0.7425529 9.23E-02 0.8964758 5.45E-02 0.9641964 5.94E-02
